t,s	E,V	I(E),mA
0.30	-1.20104	-1.6695e+02
0.50	-1.20078	-1.6444e+02
0.70	-1.20065	-1.6215e+02
0.90	-1.20052	-1.6009e+02
1.10	-1.20000	-1.5821e+02
1.30	-1.20000	-1.5652e+02
1.50	-1.19974	-1.5506e+02
1.70	-1.19961	-1.5368e+02
1.90	-1.19948	-1.5242e+02
2.10	-1.19922	-1.5119e+02
2.30	-1.19896	-1.5012e+02
2.50	-1.19857	-1.4910e+02
2.70	-1.19857	-1.4820e+02
2.90	-1.19844	-1.4735e+02
3.10	-1.19818	-1.4649e+02
3.30	-1.19792	-1.4577e+02
3.50	-1.19767	-1.4505e+02
3.70	-1.19754	-1.4445e+02
3.90	-1.19728	-1.4377e+02
4.10	-1.19702	-1.4313e+02
4.30	-1.19689	-1.4259e+02
4.50	-1.19676	-1.4199e+02
4.70	-1.19650	-1.4142e+02
4.90	-1.19624	-1.4086e+02
5.10	-1.19598	-1.4037e+02
5.30	-1.19572	-1.3981e+02
5.50	-1.19559	-1.3930e+02
5.70	-1.19533	-1.3884e+02
5.90	-1.19507	-1.3829e+02
6.10	-1.19494	-1.3787e+02
6.30	-1.19494	-1.3734e+02
6.50	-1.19455	-1.3690e+02
6.70	-1.19429	-1.3641e+02
6.90	-1.19416	-1.3598e+02
7.10	-1.19390	-1.3557e+02
7.30	-1.19377	-1.3509e+02
7.50	-1.19351	-1.3466e+02
7.70	-1.19338	-1.3418e+02
7.90	-1.19325	-1.3377e+02
8.10	-1.19312	-1.3324e+02
8.30	-1.19273	-1.3278e+02
8.50	-1.19247	-1.3233e+02
8.70	-1.19221	-1.3186e+02
8.90	-1.19208	-1.3146e+02
9.10	-1.19182	-1.3093e+02
9.30	-1.19169	-1.3056e+02
9.50	-1.19156	-1.3012e+02
9.70	-1.19130	-1.2971e+02
9.90	-1.19117	-1.2940e+02
10.10	-1.19104	-1.2901e+02
10.30	-1.19065	-1.2862e+02
10.50	-1.19052	-1.2821e+02
10.70	-1.19026	-1.2788e+02
10.90	-1.19013	-1.2753e+02
11.10	-1.19000	-1.2722e+02
11.30	-1.18961	-1.2691e+02
11.50	-1.18948	-1.2666e+02
11.70	-1.18909	-1.2637e+02
11.90	-1.18896	-1.2606e+02
12.10	-1.18896	-1.2586e+02
12.30	-1.18870	-1.2553e+02
12.50	-1.18844	-1.2530e+02
12.70	-1.18818	-1.2507e+02
12.90	-1.18805	-1.2481e+02
13.10	-1.18779	-1.2456e+02
13.30	-1.18753	-1.2427e+02
13.50	-1.18727	-1.2407e+02
13.70	-1.18714	-1.2386e+02
13.90	-1.18701	-1.2369e+02
14.10	-1.18675	-1.2345e+02
14.30	-1.18662	-1.2326e+02
14.50	-1.18649	-1.2304e+02
14.70	-1.18636	-1.2287e+02
14.90	-1.18610	-1.2271e+02
15.10	-1.18584	-1.2252e+02
15.30	-1.18571	-1.2229e+02
15.50	-1.18558	-1.2209e+02
15.70	-1.18532	-1.2190e+02
15.90	-1.18519	-1.2174e+02
16.10	-1.18493	-1.2153e+02
16.30	-1.18468	-1.2135e+02
16.50	-1.18468	-1.2122e+02
16.70	-1.18455	-1.2104e+02
16.90	-1.18429	-1.2085e+02
17.10	-1.18416	-1.2075e+02
17.30	-1.18390	-1.2050e+02
17.50	-1.18390	-1.2040e+02
17.70	-1.18364	-1.2025e+02
